citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,total acidity,sulphur bound
0.5,3.0,0.078,1.0003,3.26,1.11,11.0,11.95,66.0
0.29,2.6,0.087,0.99645,3.39,0.68,11.0,7.760000000000001,98.0
0.76,3.7,0.1,1.0032,2.95,0.68,11.2,16.285,49.0
0.12,2.9,0.082,0.99865,3.3,0.64,10.4,10.37,104.0
0.06,1.6,0.05,0.99348,3.57,0.54,11.95,6.8500000000000005,24.0
0.42,2.3,0.07,0.99426,3.38,0.77,12.7,8.63,29.0
0.13,2.2,0.075,0.9959,3.36,0.59,9.7,7.55,50.0
0.39,1.8,0.068,0.99516,3.35,0.69,11.7,9.02,18.0
0.2,2.0,0.047,0.9955,3.36,0.44,10.9,8.66,75.0
0.24,1.6,0.05,0.9934,3.74,0.62,11.5,6.04,128.0
0.17,2.6,0.096,0.9978,3.4,0.53,9.5,8.620000000000001,58.0
0.5,13.8,0.205,1.00242,3.16,0.75,8.8,10.4,130.0
0.49,3.8,0.09,0.99498,3.27,0.64,12.1,8.600000000000001,35.0
0.23,1.9,0.082,0.99774,3.22,0.65,9.3,10.549999999999999,28.0
0.3,1.8,0.074,0.99419,3.24,0.7,11.4,7.760000000000001,41.0
0.04,2.2,0.092,0.99647,3.46,0.47,10.0,6.5,39.0
0.14,2.6,0.089,0.9984,3.39,0.63,9.8,9.82,32.0
0.45,2.0,0.08,0.99774,3.22,0.76,11.4,10.92,19.0
0.32,2.2,0.081,0.9964,3.3,0.72,11.0,8.76,111.0
0.0,1.6,0.042,0.9944,3.48,0.85,11.7,6.340000000000001,14.0
0.3,1.8,0.157,0.99727,3.31,0.91,9.5,8.3,47.0
0.11,1.5,0.079,0.9968,3.42,0.58,9.6,8.02,50.0
0.61,2.0,0.112,0.997,3.16,0.54,9.1,9.065000000000001,108.0
0.49,2.2,0.063,0.9976,3.14,0.51,9.8,10.91,58.0
0.14,2.4,0.085,0.9968,3.43,0.63,9.7,7.300000000000001,61.0
0.24,2.8,0.083,0.99685,3.35,0.56,10.0,8.725,72.0
0.29,2.1,0.075,0.99718,3.4,0.64,9.5,8.03,85.0
0.37,2.5,0.063,0.99439,3.52,0.8,12.4,7.45,52.0
0.24,2.4,0.077,0.9974,3.09,0.57,9.4,10.530000000000001,39.0
0.28,2.4,0.012,0.99064,3.26,0.39,11.7,6.98,136.0
0.58,2.8,0.096,1.00024,3.13,0.53,10.0,12.01,126.0
0.15,2.2,0.076,0.9961,3.41,0.59,10.1,7.45,59.0
0.02,2.2,0.072,0.99566,3.32,0.68,11.0666666666667,7.97,123.0
0.58,4.0,0.071,0.99935,3.22,0.78,10.1,11.27,82.0
0.08,2.6,0.089,0.99592,3.3,0.59,10.4,8.07,41.0
0.12,2.4,0.083,0.99836,3.33,0.65,10.4,9.8,36.0
0.02,1.9,0.078,0.99712,3.4,0.75,9.8,7.53,48.0
0.19,5.2,0.094,0.99713,3.16,0.52,9.56666666666667,8.185,117.0
0.26,2.5,0.097,0.9976,3.27,0.6,9.3,9.239999999999998,38.0
0.36,2.2,0.079,0.99615,3.33,0.86,12.0,9.51,42.0
0.49,1.8,0.039,0.99344,3.39,0.56,12.4,7.319999999999999,26.0
0.63,2.9,0.072,0.9968,3.16,0.78,12.5,10.69,36.0
0.2,2.4,0.076,0.99735,3.31,0.64,9.4,9.115,48.0
0.33,2.5,0.099,0.99818,3.24,0.71,10.8,11.25,58.0
0.66,2.5,0.072,0.9992,3.05,0.56,10.0,12.48,43.0
0.22,1.9,0.08,0.9974,3.13,0.55,9.5,10.58,41.0
0.04,2.3,0.092,0.997,3.26,0.65,9.8,8.56,69.0
0.06,1.6,0.069,0.9964,3.3,0.46,9.4,8.5,74.0
0.24,2.0,0.072,0.996,3.27,0.54,9.4,8.43,120.0
0.65,6.4,0.08,0.99817,3.27,0.58,11.0,8.969999999999999,11.0
0.54,2.7,0.095,1.0001,3.13,0.51,9.5,11.49,122.0
0.14,2.0,0.084,0.9981,3.14,0.56,9.7,9.99,73.0
0.66,5.8,0.083,1.0022,3.07,0.73,10.0,13.415000000000001,49.0
0.4,2.2,0.06,0.99474,3.26,0.64,11.8,8.02,32.0
0.49,5.6,0.06,0.9974,3.34,0.76,10.5,7.49,147.0
0.33,2.4,0.068,0.9947,3.36,0.6,11.9,7.75,35.0
0.21,1.6,0.106,0.9966,3.17,0.91,9.5,8.33,47.0
0.43,2.5,0.076,0.99672,3.53,0.81,10.4,8.399999999999999,82.0
0.3,1.6,0.08,0.99693,3.44,0.5,9.4,7.46,105.0
0.03,2.3,0.075,0.99545,3.36,0.58,10.4,7.4399999999999995,45.0
0.44,2.6,0.066,0.99494,3.3,0.84,11.5,7.59,70.0
0.12,2.2,0.143,0.9964,3.35,0.65,10.2,8.615,30.0
0.16,1.8,0.078,0.9977,3.5,0.7,9.9,8.08,51.0
0.04,2.0,0.082,0.9976,3.22,0.44,9.6,8.96,32.0
0.24,2.6,0.087,0.9998,3.48,0.54,9.8,10.12,105.0
0.38,2.8,0.068,0.99356,3.34,0.72,12.9,7.58,65.0
0.0,5.6,0.124,0.9997,3.46,0.72,10.2,7.49,79.0
0.41,2.4,0.103,0.99604,3.13,0.58,11.9,9.38,16.0
0.37,2.2,0.075,0.998,3.22,0.62,9.2,9.74,18.0
0.16,1.4,0.08,0.9955,3.34,0.56,9.3,6.6899999999999995,34.0
0.45,1.9,0.052,0.9948,3.35,0.7,12.5,9.33,22.0
0.49,2.4,0.075,0.9978,3.14,0.61,10.4,10.44,38.0
0.52,1.6,0.113,0.9969,3.25,0.58,9.5,8.989999999999998,49.0
0.68,1.7,0.467,0.9973,3.08,1.31,9.3,8.209999999999999,87.0
0.0,2.6,0.093,0.9994,3.36,0.86,9.4,9.885,39.0
0.04,3.8,0.084,0.9978,3.34,0.53,9.5,8.32,70.0
0.19,1.5,0.161,0.99395,3.62,0.61,11.0,6.015,69.0
0.26,2.2,0.06,0.9959,3.3,0.43,10.1,8.77,93.0
0.09,1.7,0.178,0.9962,3.3,0.57,9.0,8.37,99.0
0.12,1.7,0.097,0.99596,3.16,0.49,9.4,8.09,46.0
0.32,1.8,0.067,0.9928,3.36,0.55,12.8,7.16,12.0
0.22,1.9,0.084,0.9961,3.31,0.48,9.5,8.39,112.0
0.22,2.1,0.08,0.99613,3.3,0.49,9.9,8.6,130.0
0.0,2.1,0.068,0.99533,3.48,0.65,11.4,8.315,65.0
0.1,2.6,0.068,0.99562,3.3,0.47,10.5,7.79,18.0
0.15,2.1,0.054,0.9934,3.9,0.56,13.1,5.119999999999999,73.0
0.48,2.6,0.077,0.99852,3.09,0.53,11.0,11.92,28.0
0.49,2.5,0.085,0.9978,3.22,0.55,9.4,9.700000000000001,180.0
0.4,1.5,0.073,0.99556,3.14,0.51,10.9,9.995,35.0
0.03,2.3,0.078,0.99743,3.53,0.57,9.7,7.86,102.0
0.49,1.4,0.075,0.9969,3.13,0.63,10.4,12.649999999999999,9.0
0.02,3.4,0.084,0.99892,3.48,0.49,11.0,9.32,17.0
0.24,2.1,0.072,0.9956,3.22,0.66,12.8,10.57,48.0
0.02,2.6,0.077,0.99557,3.36,0.62,10.8,8.07,46.0
0.52,2.2,0.071,1.0006,3.1,0.56,9.0,13.66,47.0
0.4,2.9,0.098,1.0006,3.48,0.91,9.7,10.29,36.0
0.31,8.8,0.084,0.99824,3.38,0.64,10.1,7.21,71.0
0.4,1.4,0.091,0.99704,3.07,0.65,10.0333333333333,12.075,34.0
0.04,2.5,0.076,0.99745,3.53,0.55,9.5,7.8,106.0
0.13,2.3,0.076,0.99574,3.42,0.75,11.0,6.81,69.0
0.4,2.2,0.079,0.998,3.44,0.64,9.2,9.200000000000001,71.0
0.34,2.0,0.064,0.99516,3.26,0.84,11.7,9.4,37.0
0.29,2.0,0.11,0.9972,2.93,1.98,9.8,9.09,152.0
0.36,1.8,0.222,0.998,3.18,0.6,9.5,8.790000000000001,22.0
0.08,2.0,0.09,0.9949,3.45,0.58,10.5,6.8,76.0
0.21,2.2,0.071,0.9964,3.28,0.55,9.7,8.15,35.0
0.44,3.6,0.071,0.9986,3.12,0.82,9.3,11.66,25.0
0.02,1.3,0.034,0.9921,3.9,0.62,12.8,5.569999999999999,62.0
0.66,2.6,0.088,1.001,3.17,0.68,9.8,12.98,51.0
0.49,2.5,0.088,0.9966,3.36,0.78,11.0,7.665,145.0
0.01,2.0,0.074,0.99748,3.48,0.65,9.8,8.01,51.0
0.23,2.0,0.072,0.99438,3.4,0.84,11.2,7.41,35.0
0.02,2.5,0.076,0.9972,3.44,0.52,9.3,7.93,58.0
0.54,1.5,0.095,0.99735,3.02,0.76,9.9,12.01,63.0
0.38,1.5,0.096,0.99666,3.2,0.52,9.4,9.12,23.0
0.19,1.8,0.104,0.9964,3.19,0.93,9.5,8.36,59.0
0.34,2.3,0.094,0.99864,3.24,0.6,9.7,10.3,55.0
0.2,2.6,0.332,0.9968,3.21,0.9,10.5,7.99,22.0
0.38,2.5,0.08,0.9978,3.3,0.47,9.0,8.54,69.0
0.04,1.9,0.146,0.9984,3.16,0.7,9.4,9.62,117.0
0.36,1.6,0.089,0.99615,3.34,0.56,9.2,7.43,51.0
0.01,1.9,0.08,0.99746,3.69,0.73,10.5,7.21,33.0
0.04,2.1,0.068,0.9955,3.39,0.64,9.4,7.1,20.0
0.2,2.0,0.073,0.99494,3.1,0.43,9.3,8.08,78.0
0.49,2.6,0.094,0.9982,3.08,0.59,9.1,9.57,144.0
0.57,2.0,0.074,0.9969,3.28,0.79,10.7,9.620000000000001,92.0
0.37,0.9,0.049,0.99007,2.89,0.44,12.7,8.18,145.0
0.33,1.9,0.074,0.99706,3.41,0.58,9.0,8.09,112.0
0.41,5.9,0.073,0.99658,3.3,0.62,12.1,9.13,20.0
0.53,2.2,0.06,0.99572,3.02,0.83,10.9,11.41,13.0
0.2,1.8,0.077,0.9971,3.54,0.58,9.3,7.41,76.0
0.36,2.0,0.081,0.9972,3.48,0.64,9.2,7.615,58.0
0.31,2.5,0.126,0.99746,3.1,0.74,9.6,9.16,88.0
0.09,2.3,0.049,0.9937,3.63,0.63,13.0,6.1,116.0
0.2,1.6,0.069,0.9958,3.41,0.56,9.2,6.65,18.0
0.3,4.5,0.068,0.99914,3.3,1.17,10.2,7.6,130.0
0.22,2.1,0.077,0.9967,3.29,0.51,9.2,8.674999999999999,77.0
0.0,1.7,0.07,0.99659,3.26,0.64,9.4,8.35,24.0
0.49,6.3,0.064,0.9988,3.21,0.73,11.0,9.96,22.0
0.42,1.5,0.145,0.99832,3.38,0.86,9.9,10.84,82.0
0.39,15.5,0.069,1.0026,3.12,0.66,9.2,10.879999999999999,29.0
0.48,1.7,0.1,0.9961,3.19,0.62,9.5,8.43,110.0
0.06,1.7,0.074,0.99615,3.35,0.48,9.8,8.23,48.0
0.42,2.4,0.213,0.9994,3.19,0.62,9.5,10.71,20.0
0.6,2.6,0.081,0.9996,3.1,0.73,10.5,12.88,103.0
0.45,2.6,0.119,0.99708,3.23,0.72,10.9,11.1,102.0
0.01,2.5,0.078,0.9963,3.34,0.74,11.7,8.55,55.0
0.0,1.4,0.096,0.99569,3.43,0.58,9.5,8.56,19.0
0.25,2.0,0.07,0.9963,3.25,0.63,9.2,7.5,25.0
0.47,1.7,0.054,0.99686,3.15,0.67,10.6,11.979999999999999,49.0
0.63,1.6,0.081,0.99588,3.3,0.78,10.8,8.3,45.0
0.0,2.5,0.093,1.0002,3.5,0.65,9.3,8.79,77.0
0.34,1.4,0.05,0.99554,3.12,0.48,9.1,9.74,14.0
0.42,2.0,0.086,0.99546,3.35,0.6,11.4,8.24,27.0
0.03,2.3,0.059,0.9952,3.52,0.56,12.3,7.4399999999999995,80.0
0.18,1.9,0.08,0.9972,3.3,0.59,9.0,8.645,48.0
0.55,3.2,0.076,0.9996,3.15,0.89,9.9,10.81,76.0
0.54,2.5,0.094,0.9984,3.28,0.82,9.6,10.02,111.0
0.32,2.0,0.062,0.9947,3.23,0.73,11.3,7.57,43.0
0.0,2.2,0.087,0.99378,3.71,0.63,12.8,6.26,14.0
0.32,2.0,0.062,0.9947,3.23,0.73,11.3,7.57,43.0
0.12,2.6,0.092,0.9994,3.51,0.72,10.0,9.005,40.0
0.2,1.4,0.086,0.9946,3.11,0.46,10.0,9.084999999999999,38.0
0.02,1.7,0.084,0.99538,3.36,0.54,10.5,8.01,44.0
0.21,2.3,0.087,0.9955,3.12,0.44,9.2,8.39,89.0
0.28,2.8,0.068,0.99682,3.24,0.53,10.3,7.58,22.0
0.0,1.7,0.069,0.99701,3.31,0.53,10.0,9.5,27.0
0.34,2.7,0.082,0.998,3.55,0.6,9.5,7.45,88.0
0.26,1.9,0.088,0.9981,3.43,0.74,9.2,8.26,76.0
0.0,1.9,0.097,0.99675,3.37,0.58,9.0,7.83,52.0
0.24,1.7,0.077,0.9948,3.39,0.6,10.6,7.16,52.0
0.46,3.6,0.078,0.9973,3.35,0.86,12.8,8.25,52.0
0.48,2.5,0.063,0.9998,3.12,0.59,9.3,10.83,31.0
0.01,1.9,0.08,0.99683,3.4,0.73,9.7,7.48,94.0
0.12,2.0,0.082,0.997,3.37,0.5,9.4,8.36,35.0
0.3,4.5,0.068,0.99914,3.3,1.17,10.2,7.6,130.0
0.21,1.7,0.074,0.9968,3.2,0.52,9.5,8.93,18.0
0.0,2.0,0.084,0.9983,3.61,0.96,9.9,7.96,29.0
0.32,2.1,0.064,0.99576,3.3,0.8,11.2,9.469999999999999,19.0
0.11,2.4,0.043,0.99354,3.3,0.65,11.4,7.3500000000000005,18.0
0.23,2.1,0.088,0.9962,3.32,0.48,9.5,8.370000000000001,113.0
0.04,1.4,0.045,0.9938,3.75,0.48,10.5,6.02,126.0
0.27,1.9,0.058,0.99518,3.16,0.85,11.1,8.97,56.0
0.12,10.7,0.073,0.9993,3.45,0.52,9.4,7.505000000000001,123.0
0.34,3.6,0.082,0.9987,3.29,0.52,10.7,9.9,19.0
0.52,1.8,0.132,0.99734,3.28,0.77,11.5,11.22,61.0
0.22,2.0,0.1,0.9967,3.2,0.56,10.2,9.129999999999999,34.0
0.1,2.1,0.079,0.9986,3.23,0.56,10.1,10.235,37.0
0.26,2.4,0.082,0.9978,3.28,0.55,9.4,10.085,166.0
0.36,2.3,0.075,0.9976,3.34,0.46,9.4,8.43,58.0
0.54,1.9,0.083,0.99451,2.98,0.63,11.8,10.26,116.0
0.4,6.3,0.05,0.99566,3.28,0.56,12.0,8.9,13.0
0.0,1.9,0.076,0.9978,3.51,0.56,9.4,8.1,45.0
0.21,1.9,0.083,0.99532,3.34,0.47,10.5,9.18,55.0
0.08,1.9,0.068,0.99651,3.42,0.82,9.5,7.42,66.0
0.0,2.4,0.104,0.9966,3.52,0.55,10.7,7.585,44.0
0.48,1.8,0.069,0.9959,3.44,0.78,10.3,6.6,79.0
0.45,1.8,0.075,0.99552,3.41,0.76,11.9,9.02,31.0
0.47,2.0,0.086,0.997,3.36,0.57,9.1,7.9,94.0
0.21,2.7,0.097,0.9988,3.28,0.58,9.6,9.83,94.0
0.18,2.5,0.077,0.99739,3.2,0.47,9.7,9.645,63.0
0.41,2.2,0.084,0.9984,3.08,0.67,9.3,11.200000000000001,24.0
0.08,1.9,0.077,0.99528,3.6,0.68,10.3,6.63,69.0
0.3,1.7,0.08,0.9969,3.41,0.65,9.5,7.7,112.0
0.3,2.0,0.06,0.9958,3.26,0.56,10.2,8.67,100.0
0.02,2.3,0.082,0.99744,3.55,0.53,9.7,7.6899999999999995,118.0
0.03,2.0,0.08,0.99578,3.44,0.64,10.9,8.23,70.0
0.45,2.3,0.071,0.9991,3.39,0.62,9.4,10.440000000000001,56.0
0.32,2.7,0.067,0.99628,3.24,0.44,10.4,7.92,32.0
0.0,1.6,0.092,0.99635,3.38,0.58,10.0,8.21,53.0
0.01,1.8,0.088,0.99568,3.32,0.56,10.5,8.28,30.0
0.31,2.0,0.079,0.99668,3.47,0.55,9.5,7.3100000000000005,72.0
0.05,1.8,0.075,0.99616,3.3,0.44,9.6,9.755,24.0
0.05,2.7,0.075,0.9974,3.26,0.61,9.1,8.39,42.0
0.07,1.8,0.1,0.9961,3.3,0.58,9.6,8.040000000000001,31.0
0.0,2.2,0.088,0.99756,3.58,0.67,10.2,8.365,48.0
0.0,2.2,0.08,0.99765,3.41,0.6,9.4,8.035,46.0
0.24,2.2,0.07,0.996,3.33,0.48,9.4,7.69,41.0
0.19,3.2,0.075,0.9956,3.56,0.52,12.7,6.66,54.0
0.0,1.7,0.076,0.99612,3.31,0.62,10.7,8.379999999999999,78.0
0.04,1.6,0.039,0.9962,3.4,0.47,9.4,8.36,13.0
0.0,1.9,0.084,0.99672,3.34,0.49,9.7,8.255,18.0
0.34,2.3,0.05,0.9951,3.4,0.64,11.0,7.77,12.0
0.31,2.0,0.079,0.99677,3.29,0.69,9.5,8.47,89.0
0.21,1.7,0.045,0.99341,3.32,0.44,9.5,6.090000000000001,192.0
0.16,1.9,0.085,0.9968,3.38,0.62,9.5,8.02,47.0
0.68,3.5,0.358,0.9972,3.25,1.08,9.9,7.970000000000001,15.0
0.32,2.5,0.08,0.99801,3.22,1.07,9.7,8.42,148.0
0.3,3.4,0.079,0.99788,3.36,0.61,10.5,8.73,41.0
0.2,7.8,0.073,0.9977,3.29,0.54,9.2,7.324999999999999,108.0
0.0,1.9,0.097,0.99675,3.37,0.58,9.0,7.83,52.0
0.25,2.0,0.083,0.99815,3.28,0.6,10.0,9.245,36.0
0.55,1.8,0.117,0.9968,3.17,0.62,9.4,8.77,173.0
0.1,2.1,0.048,0.99448,3.44,0.76,10.8,6.7700000000000005,15.0
0.22,2.2,0.106,0.9959,3.05,0.63,9.2,7.95,84.0
0.0,1.6,0.065,0.9966,3.56,0.84,9.4,6.78,26.0
0.04,2.2,0.119,0.9962,3.21,0.6,10.9,9.350000000000001,70.0
0.21,1.5,0.069,0.99458,3.16,0.54,9.8,8.27,13.0
0.15,5.1,0.076,0.99622,3.54,0.6,11.9,6.9,40.0
0.44,1.6,0.063,0.9985,3.22,0.78,10.0,11.120000000000001,53.0
0.32,1.8,0.065,0.99714,3.46,0.78,9.9,7.59,94.0
0.5,1.8,0.09,0.99734,3.15,0.57,10.5,11.67,67.0
0.07,5.5,0.089,0.99684,3.37,0.68,11.2,7.68,28.0
0.36,6.1,0.071,0.9978,3.35,0.8,10.5,8.0,119.0
0.69,2.8,0.095,0.9994,3.1,0.61,10.8,12.290000000000001,52.0
0.01,2.2,0.059,0.99242,3.39,0.4,12.8,7.85,29.0
0.29,1.6,0.081,0.99603,3.25,0.54,10.3,8.629999999999999,72.0
0.12,2.5,0.068,0.996,3.34,0.61,11.6,8.345,46.0
0.23,3.2,0.073,0.99675,3.26,0.57,9.3,8.57,136.0
0.29,3.1,0.194,0.99536,3.22,0.78,12.0,8.71,40.0
0.58,3.5,0.094,1.0004,3.29,0.58,9.0,10.39,52.0
0.31,2.5,0.096,0.9982,3.19,0.7,10.0,9.98,65.0
0.02,2.4,0.069,0.99358,3.47,0.45,11.0,6.739999999999999,72.0
0.0,1.9,0.114,0.99636,3.35,0.6,9.7,7.6899999999999995,13.0
0.49,4.2,0.095,1.00315,2.92,0.74,11.1,16.245,33.0
0.13,2.4,0.078,0.99528,3.43,0.59,10.8,7.92,95.0
0.27,2.3,0.055,0.99516,3.18,0.8,11.2,9.07,42.0
0.51,1.7,0.415,0.99623,3.0,1.17,9.2,9.479999999999999,78.0
0.0,1.8,0.062,0.99352,3.44,0.55,12.3,7.1,49.0
0.52,2.3,0.083,0.9976,3.35,0.61,11.3,9.629999999999999,37.0
0.3,2.2,0.053,0.9965,2.94,1.62,9.5,7.409999999999999,163.0
0.22,2.2,0.079,0.9976,3.18,0.51,9.6,9.875,60.0
0.6,2.6,0.073,0.99656,3.38,0.79,11.1,7.949999999999999,67.0
0.0,1.8,0.05,0.9916,3.68,0.79,14.0,5.54,90.0
0.73,6.55,0.074,0.999,3.17,0.85,12.0,10.84,114.0
0.12,1.8,0.072,0.99504,3.38,0.89,11.8,9.02,84.0
0.24,1.7,0.078,0.99692,3.29,0.67,10.0,9.785,31.0
0.0,2.4,0.088,0.999,3.35,0.6,9.3,9.69,57.0
0.11,2.2,0.048,0.99182,3.54,0.88,13.5666666666667,5.77,105.0
0.22,1.8,0.074,0.99438,3.4,0.82,11.2,7.359999999999999,39.0
0.13,3.45,0.088,0.9994,3.44,0.52,11.5,9.775,18.0
0.74,5.15,0.1,0.9996,3.22,0.62,11.2,11.7,22.0
0.42,2.3,0.087,0.9972,3.58,0.61,10.5,8.02,46.0
0.29,2.2,0.054,0.99666,3.4,0.76,10.9,7.65,68.0
0.02,2.1,0.066,0.9972,3.47,0.67,9.5,7.65,33.0
0.05,2.0,0.07,0.99562,3.51,0.66,10.8,7.609999999999999,20.0
0.0,1.4,0.07,0.99593,3.25,0.64,10.0,8.83,20.0
0.18,2.1,0.042,0.9924,3.46,0.87,12.9,5.609999999999999,117.0
0.09,2.1,0.062,0.99584,3.35,0.54,10.5,7.51,13.0
0.09,1.7,0.089,0.99402,3.67,0.56,11.6,6.140000000000001,42.0
0.0,1.2,0.065,0.9946,3.39,0.47,10.0,7.95,36.0
0.3,1.9,0.065,0.99774,3.32,0.71,10.5,9.6,25.0
0.45,2.0,0.082,0.9988,2.94,0.66,9.2,11.64,21.0
0.37,2.2,0.057,0.99614,3.23,0.49,9.3,10.43,50.0
0.66,2.95,0.116,0.997,3.24,0.75,11.7,10.92,41.0
0.2,2.1,0.097,0.99733,3.13,0.48,9.2,9.16,136.0
0.14,2.4,0.114,0.99732,3.66,0.65,9.8,6.96,46.0
0.1,2.1,0.112,0.9963,3.26,0.5,9.5,8.665000000000001,33.0
0.39,2.0,0.061,0.9981,3.18,0.62,9.5,11.16,22.0
0.07,2.5,0.091,0.99572,3.38,0.6,11.3,7.6899999999999995,36.0
0.48,1.9,0.066,0.99724,3.33,0.87,10.9,10.66,16.0
0.4,2.2,0.058,0.99536,3.31,0.68,11.2,8.51,16.0
0.52,1.8,0.132,0.99734,3.28,0.77,11.5,11.22,61.0
0.3,2.0,0.085,0.99346,3.33,0.46,11.9,7.43,45.0
0.76,1.8,0.611,0.9968,3.06,1.26,9.4,8.11,53.0
0.38,1.5,0.058,0.99676,3.26,0.82,10.6,10.25,78.0
0.01,2.3,0.079,0.99514,3.4,0.61,10.9,7.699999999999999,61.0
0.48,1.8,0.067,0.9967,3.32,1.04,10.6,9.379999999999999,72.0
0.24,2.5,0.078,0.99648,3.6,0.59,11.1,7.7299999999999995,94.0
0.34,2.7,0.087,0.9982,3.26,0.61,9.5,9.32,146.0
0.0,1.8,0.05,0.9916,3.68,0.79,14.0,5.54,90.0
0.24,2.8,0.105,0.9998,3.24,0.67,9.9,11.040000000000001,82.0
0.46,2.1,0.074,0.99534,3.4,0.85,11.0,7.5600000000000005,68.0
0.2,2.8,0.09,0.998,3.34,0.7,9.6,8.87,76.0
0.0,2.3,0.166,0.99551,3.56,0.51,10.8,7.385,18.0
0.15,1.8,0.118,0.9954,3.42,0.67,11.3,7.47,33.0
0.72,2.2,0.072,0.9987,2.88,0.82,9.8,12.91,35.0
0.49,2.7,0.098,1.0004,3.16,0.61,10.3,12.280000000000001,54.0
0.22,2.3,0.075,0.99688,3.24,0.54,9.5,8.715,94.0
0.5,2.0,0.337,0.9964,3.04,1.61,9.5,9.49,108.0
0.09,5.5,0.117,0.99655,3.35,0.49,10.8,7.324999999999999,26.0
0.25,2.6,0.073,0.99615,3.37,0.58,10.5,8.13,92.0
0.14,2.5,0.093,0.99724,3.36,0.54,10.1,9.15,67.0
0.02,2.6,0.077,0.99557,3.36,0.62,10.8,8.07,46.0
0.64,2.1,0.059,0.998,3.21,0.67,10.2,12.04,20.0
0.14,2.5,0.086,0.99824,3.34,0.64,10.5,9.65,39.0
0.2,1.5,0.08,0.9972,3.16,1.12,9.1,8.925,146.0
0.1,2.3,0.074,0.9959,3.42,0.58,10.2,7.390000000000001,42.0
0.54,2.8,0.103,0.99939,3.21,0.76,11.3,13.01,60.0
0.0,2.2,0.065,0.99378,3.49,0.52,11.6,7.195,80.0
0.37,1.4,0.076,0.9974,3.26,0.7,9.6,8.56,31.0
0.21,1.7,0.074,0.9968,3.2,0.52,9.5,8.93,18.0
0.0,1.8,0.044,0.99157,3.68,0.73,13.6,5.52,106.0
0.49,4.2,0.095,1.00315,2.92,0.74,11.1,16.145,33.0
0.12,5.1,0.111,0.9983,3.26,0.77,9.4,8.13,160.0
0.01,1.5,0.06,0.9952,3.4,0.58,9.8,7.1,43.0
0.0,2.4,0.052,0.99318,3.35,0.66,12.7,7.76,17.0
0.01,2.0,0.074,0.99748,3.48,0.65,9.8,8.01,51.0
0.0,2.1,0.079,0.9956,3.39,0.84,11.4,7.54,94.0
0.13,2.0,0.076,0.9973,3.61,0.64,9.8,7.24,51.0
0.58,3.7,0.174,0.997,3.19,0.7,11.3,10.74,22.0
0.52,2.8,0.159,0.9998,3.18,0.64,9.4,10.64,90.0
0.55,2.3,0.084,1.0,3.17,0.71,9.5,11.87,19.0
0.26,3.8,0.107,0.99668,3.26,0.46,9.2,8.67,98.0
0.42,1.8,0.077,0.9976,3.21,1.05,10.8,10.74,28.0
0.21,2.2,0.077,0.9956,3.27,0.45,9.9,8.34,165.0
0.67,3.0,0.093,0.9986,3.02,0.93,12.0,14.290000000000001,21.0
0.34,5.1,0.062,0.9974,3.22,0.94,10.9,8.44,30.0
0.26,2.0,0.088,0.9981,3.41,0.74,9.2,8.34,71.0
0.01,1.8,0.088,0.99568,3.32,0.56,10.5,8.28,30.0
0.03,2.2,0.08,0.99745,3.53,0.58,9.8,7.83,105.0
0.09,2.3,0.065,0.99417,3.46,0.74,12.7,8.37,79.0
0.57,2.3,0.106,0.99605,3.36,0.55,11.4,7.88,17.0
0.24,2.2,0.087,0.9988,3.14,0.6,10.2,10.28,33.0
0.5,4.3,0.046,0.9902,3.49,0.66,13.6,5.4,109.0
0.65,7.5,0.096,0.9976,2.98,0.84,14.9,16.26,93.0
0.17,2.0,0.073,0.9972,3.29,0.61,9.2,8.42,24.0
0.09,1.5,0.172,0.994,3.5,0.48,9.8,6.83,26.0
0.36,2.3,0.075,0.9976,3.34,0.46,9.4,8.43,58.0
0.26,1.9,0.079,0.9964,3.23,0.54,9.5,8.42,182.0
0.33,1.8,0.059,0.99531,3.36,0.64,10.1,7.13,44.0
0.4,2.8,0.109,0.99614,3.31,0.79,11.8,9.110000000000001,23.0
0.2,8.1,0.098,0.99892,3.2,0.58,9.2,8.27,122.0
0.08,1.8,0.074,0.99529,3.12,0.49,9.6,7.279999999999999,104.0
0.13,2.0,0.076,0.99546,3.29,0.54,10.1,7.8950000000000005,32.0
0.31,3.0,0.086,1.0002,3.48,0.74,11.6,9.389999999999999,104.0
0.58,3.0,0.103,1.0008,3.16,1.0,11.5,12.89,127.0
0.0,1.9,0.08,0.9972,3.47,0.55,9.4,7.81,49.0
0.25,3.9,0.104,0.99784,3.15,0.57,9.1,8.02,118.0
0.02,2.0,0.062,0.99374,3.35,0.76,11.6,7.18,90.0
0.42,2.0,0.071,0.99566,3.14,0.79,11.1,10.639999999999999,27.0
0.24,1.8,0.36,0.9964,3.0,1.59,9.5,8.205,78.0
0.44,2.9,0.065,0.99674,3.33,0.62,12.2,10.46,12.0
0.5,2.5,0.055,0.9952,3.34,0.79,13.3,9.61,37.0
0.48,2.1,0.052,0.99458,3.2,0.69,12.1,10.54,14.0
0.0,4.1,0.095,0.99854,3.36,0.53,9.6,8.92,19.0
0.24,1.9,0.108,0.9967,3.26,0.59,9.3,8.03,120.0
0.1,2.9,0.089,0.99803,3.29,0.55,9.5,8.950000000000001,57.0
